vehicle_count,attacker_pct,tp,fp,fn,tn,n,accuracy,precision,recall,f1,fpr,fnr,detection_rate,caution_rate,error_rate
25,0.05,0,0,4,0,4,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
25,0.2,0,0,4,1,5,0.2,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
25,0.01,0,0,2,0,2,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
25,0.4,0,0,2,0,2,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
100,0.01,0,0,5,1,6,0.16666666666666666,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
100,0.05,0,0,1,0,1,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
100,0.2,0,0,2,1,3,0.3333333333333333,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
100,0.1,0,0,4,0,4,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
100,0.4,0,0,2,1,3,0.3333333333333333,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
500,0.4,0,0,4,0,4,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
500,0.1,0,0,4,1,5,0.2,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
500,0.01,0,0,3,0,3,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
500,0.05,0,0,1,0,1,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
500,0.2,0,0,1,0,1,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
1000,0.2,0,0,2,0,2,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
1000,0.1,0,0,4,1,5,0.2,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
1000,0.01,0,0,2,0,2,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
1000,0.05,0,0,2,0,2,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
1000,0.4,0,0,3,1,4,0.25,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
250,0.2,0,0,4,1,5,0.2,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
250,0.4,0,0,3,0,3,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
250,0.01,0,0,3,1,4,0.25,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
250,0.1,0,0,1,1,2,0.5,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
250,0.05,0,0,2,1,3,0.3333333333333333,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
5,0.05,0,0,3,2,5,0.4,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
5,0.01,0,0,4,0,4,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
5,0.1,0,0,3,0,3,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
5,0.4,0,0,2,0,2,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
10,0.1,0,0,1,3,4,0.75,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
10,0.4,0,0,6,1,7,0.14285714285714285,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
10,0.05,0,0,4,2,6,0.3333333333333333,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
10,0.01,0,0,1,0,1,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
50,0.05,0,0,2,1,3,0.3333333333333333,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
50,0.4,0,0,1,1,2,0.5,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
50,0.2,0,0,3,1,4,0.25,nan,0.0,nan,0.0,1.0,0.0,1.0,0.0
50,0.01,0,0,2,0,2,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
50,0.1,0,0,1,0,1,0.0,nan,0.0,nan,nan,1.0,0.0,1.0,0.0
